"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"PEYTONMANNING","Peyton Manning","QB","DEN",242,3,0,1,-1,0,0,0,0,0,21.58
"AARONRODGERS","Aaron Rodgers","QB","GB",346,3,0,6,28,0,0,0,0,0,28.64
"DREWBREES","Drew Brees","QB","NO",237,2,1,1,3,0,0,0,0,0,16.78
"NICKFOLES","Nick Foles","QB","PHI",331,1,1,4,22,0,0,0,0,0,18.44
"ANDREWLUCK","Andrew Luck","QB","IND",172,3,1,4,20,0,0,0,0,0,19.88
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",38,0,0,2,22,0,0,0,0,0,3.72
"TOMBRADY","Tom Brady","QB","NE",149,1,0,1,0,0,0,0,0,0,9.96
"MATTRYAN","Matt Ryan","QB","ATL",231,1,3,3,28,0,0,0,0,0,13.04
"ALEXSMITH","Alex Smith","QB","KC",255,0,0,5,42,0,0,0,0,0,14.4
"JAKELOCKER","Jake Locker","QB","TEN",234,1,2,2,9,0,0,0,0,0,12.26
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",291,1,1,1,8,0,0,0,0,0,15.44
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",248,1,3,9,64,0,0,0,0,0,15.32
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,12,21,0,8,5,15,0,3.6
"ANDYDALTON","Andy Dalton","QB","CIN",252,1,0,3,6,0,0,0,0,0,14.68
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,20,79,1,5,4,23,0,16.2
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",0,0,0,27,90,1,6,5,79,0,22.9
"CAMNEWTON","Cam Newton","QB","CAR",281,1,0,4,19,0,0,0,0,0,19.14
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,29,167,1,2,1,6,0,21.3
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,2,4,0,1,1,8,0,1.2
"TONYROMO","Tony Romo","QB","DAL",176,1,0,0,0,0,0,0,0,0,11.04
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,28,138,1,3,2,12,0,21
"MONTEEBALL","Montee Ball","RB","DEN",0,0,0,12,60,0,3,3,29,0,8.9
"EDDIELACY","Eddie Lacy","RB","GB",0,0,0,13,43,0,3,2,18,0,6.1
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,6,36,0,4,4,27,1,12.3
"PHILIPRIVERS","Philip Rivers","QB","SD",284,3,0,11,17,0,0,0,0,0,25.06
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,0,7,5,62,1,12.2
"BOBBYRAINEY","Bobby Rainey","RB","TB",0,0,0,22,144,0,3,3,30,0,17.4
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",241,1,1,4,11,0,0,0,0,0,13.74
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,0,13,10,118,2,23.8
"JAYCUTLER","Jay Cutler","QB","CHI",176,4,0,5,25,0,0,0,0,0,25.54
"RUSSELLWILSON","Russell Wilson","QB","SEA",202,2,0,2,18,0,0,0,0,0,17.88
"EJMANUEL","EJ Manuel","QB","BUF",202,1,0,4,6,0,0,0,0,0,12.68
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",0,0,0,0,0,0,6,4,32,0,3.2
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",217,0,1,0,0,0,0,0,0,0,7.68
"JOSHMCCOWN","Josh McCown","QB","TB",179,0,1,2,6,2,0,0,0,0,18.76
"MATTCASSEL","Matt Cassel","QB","MIN",202,1,4,3,16,0,0,0,0,0,9.68
"CALVINJOHNSON","Calvin Johnson","WR","DET",0,0,0,0,0,0,13,6,83,0,8.3
"AJGREEN","A.J. Green","WR","CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"FRANKGORE","Frank Gore","RB","SF",0,0,0,13,63,1,2,2,12,0,13.5
"DREWSTANTON","Drew Stanton","QB","ARI",167,0,0,2,-2,0,0,0,0,0,6.48
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,11,59,0,5,5,48,0,10.7
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,0,0,0,13,7,88,1,14.8
"JOEFLACCO","Joe Flacco","QB","BAL",166,2,0,5,3,0,0,0,0,0,14.94
"GENOSMITH","Geno Smith","QB","NYJ",176,1,1,7,26,1,0,0,0,0,18.64
"ALFREDMORRIS","Alfred Morris","RB","WAS",0,0,0,22,85,2,0,0,0,0,20.5
"DEZBRYANT","Dez Bryant","WR","DAL",0,0,0,0,0,0,14,10,103,1,16.3
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,15,91,0,3,1,10,0,10.1
"JULIUSTHOMAS","Julius Thomas","TE","DEN",0,0,0,0,0,0,5,4,39,1,9.9
"ELIMANNING","Eli Manning","QB","NYG",277,2,2,1,5,0,0,0,0,0,17.58
"SHANEVEREEN","Shane Vereen","RB","NE",0,0,0,6,40,0,1,0,0,0,4
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",139,2,0,0,0,0,0,0,0,0,13.56
"CHADHENNE","Chad Henne","QB","JAX",193,1,1,3,17,0,0,0,0,0,12.42
"TOBYGERHART","Toby Gerhart","RB","JAX",0,0,0,7,8,0,2,2,9,0,1.7
"RASHADJENNINGS","Rashad Jennings","RB","NYG",0,0,0,18,64,0,4,4,45,0,8.9
"MATTASIATA","Matt Asiata","RB","MIN",0,0,0,13,36,0,7,5,48,1,14.4
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,2,10,0,12,7,90,0,10
"CJSPILLER","C.J. Spiller","RB","BUF",0,0,0,12,69,0,1,1,9,0,13.8
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",0,0,0,0,0,0,8,5,48,3,22.8
"VINCENTJACKSON","Vincent Jackson","WR","TB",0,0,0,0,0,0,7,4,51,0,5.1
"DARRENMCFADDEN","Darren McFadden","RB","OAK",0,0,0,12,37,1,3,2,31,0,12.8
"BRIANHOYER","Brian Hoyer","QB","CLE",204,1,0,0,0,0,0,0,0,0,12.16
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,0,16,9,209,1,26.9
"DEREKCARR","Derek Carr","QB","OAK",263,1,2,4,58,0,0,0,0,0,18.32
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",0,0,0,0,0,0,7,4,56,0,5.6
"RANDALLCOBB","Randall Cobb","WR","GB",0,0,0,2,6,0,6,5,39,2,18.5
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",0,0,0,1,-2,0,9,8,108,0,10.6
"TERRANCEWEST","Terrance West","RB","CLE",0,0,0,19,68,1,2,2,22,0,15
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",0,0,0,1,4,0,0,0,0,0,0.4
"ANDREJOHNSON","Andre Johnson","WR","HOU",0,0,0,0,0,0,7,6,74,0,7.4
"PERCYHARVIN","Percy Harvin","WR","NYJ",0,0,0,2,45,1,1,1,5,0,9
"PIERREGARCON","Pierre Garcon","WR","WAS",0,0,0,0,0,0,4,1,12,0,1.2
"VICTORCRUZ","Victor Cruz","WR","NYG",0,0,0,0,0,0,10,5,60,0,6
"GREGOLSEN","Greg Olsen","TE","CAR",0,0,0,0,0,0,8,6,72,0,7.2
"ZACSTACY","Zac Stacy","RB","STL",0,0,0,19,71,1,0,0,0,0,11.1
"GREGJENNINGS","Greg Jennings","WR","MIN",0,0,0,0,0,0,4,1,4,0,0.4
"TRENTRICHARDSON","Trent Richardson","RB","IND",0,0,0,21,79,0,1,1,16,0,7.5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",0,0,0,15,37,1,1,1,22,0,11.9
"TORREYSMITH","Torrey Smith","WR","BAL",0,0,0,0,0,0,3,1,10,0,1
"CHRISJOHNSON","Chris Johnson","RB","NYJ",0,0,0,12,21,0,3,1,0,0,2.1
"JULIANEDELMAN","Julian Edelman","WR","NE",0,0,0,1,9,0,7,6,81,1,15
"RODDYWHITE","Roddy White","WR","ATL",0,0,0,0,0,0,8,5,42,0,4.2
"MIKEWALLACE","Mike Wallace","WR","MIA",0,0,0,0,0,0,8,5,56,1,11.6
"KEENANALLEN","Keenan Allen","WR","SD",0,0,0,0,0,0,6,5,55,0,5.5
"DANNYWOODHEAD","Danny Woodhead","RB","SD",0,0,0,8,32,0,5,4,28,0,6
"DESEANJACKSON","DeSean Jackson","WR","WAS",0,0,0,0,0,0,2,1,19,0,1.9
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",0,0,0,0,0,0,11,4,45,1,10.5
"FREDJACKSON","Fred Jackson","RB","BUF",0,0,0,12,24,0,4,2,27,0,5.1
"MARQUESCOLSTON","Marques Colston","WR","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"REGGIEBUSH","Reggie Bush","RB","DET",0,0,0,6,26,0,3,2,6,0,3.2
"JUSTINFORSETT","Justin Forsett","RB","BAL",0,0,0,8,56,0,4,4,16,0,7.2
"TYHILTON","T.Y. Hilton","WR","IND",0,0,0,0,0,0,11,6,65,0,6.5
"REGGIEWAYNE","Reggie Wayne","WR","IND",0,0,0,0,0,0,7,3,28,0,2.8
"JOIQUEBELL","Joique Bell","RB","DET",0,0,0,10,36,0,11,6,61,0,7.7
"JASONWITTEN","Jason Witten","TE","DAL",0,0,0,0,0,0,7,4,32,0,3.2
"JUSTINHUNTER","Justin Hunter","WR","TEN",0,0,0,0,0,0,6,2,26,0,2.6
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",0,0,0,0,0,0,8,7,37,1,9.7
"VERNONDAVIS","Vernon Davis","TE","SF",0,0,0,0,0,0,3,3,39,0,3.9
"ERICDECKER","Eric Decker","WR","NYJ",0,0,0,0,0,0,7,4,63,1,12.3
"MICHAELFLOYD","Michael Floyd","WR","ARI",0,0,0,0,0,0,6,1,19,0,1.9
"ANDRECALDWELL","Andre Caldwell","WR","DEN",0,0,0,0,0,0,1,0,0,0,0
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",0,0,0,0,0,0,8,2,46,0,4.6
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",0,0,0,0,0,0,8,5,53,0,5.3
"STEVENJACKSON","Steven Jackson","RB","ATL",0,0,0,11,46,0,1,1,7,0,5.3
"DENNISPITTA","Dennis Pitta","TE","BAL",0,0,0,0,0,0,4,3,30,0,3
"BRANDINCOOKS","Brandin Cooks","WR","NO",0,0,0,2,31,0,6,3,17,0,4.8
"MIKEEVANS","Mike Evans","WR","TB",0,0,0,0,0,0,4,4,49,0,4.9
"SHONNGREENE","Shonn Greene","RB","TEN",0,0,0,5,40,0,0,0,0,0,4
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",0,0,0,0,0,0,10,6,51,0,5.1
"ZACHERTZ","Zach Ertz","TE","PHI",0,0,0,0,0,0,6,4,86,0,8.6
"KENDALLWRIGHT","Kendall Wright","WR","TEN",0,0,0,0,0,0,5,3,31,0,3.1
"MICHAELCRABTREE","Michael Crabtree","WR","SF",0,0,0,0,0,0,9,7,82,1,14.2
"DWAYNEBOWE","Dwayne Bowe","WR","KC",0,0,0,0,0,0,6,3,40,0,4
"BERNARDPIERCE","Bernard Pierce","RB","BAL",0,0,0,22,96,0,2,1,7,0,10.3
"ALLENHURNS","Allen Hurns","WR","JAX",0,0,0,0,0,0,6,2,13,0,1.3
"LARRYDONNELL","Larry Donnell","TE","NYG",0,0,0,0,0,0,9,7,81,0,8.1
"ANTONIOGATES","Antonio Gates","TE","SD",0,0,0,0,0,0,7,7,96,3,27.6
"AUSTINDAVIS","Austin Davis","QB","STL",235,0,0,1,0,0,0,0,0,0,9.4
"STEVANRIDLEY","Stevan Ridley","RB","NE",0,0,0,25,101,1,0,0,0,0,16.1
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",0,0,0,0,0,0,3,2,71,1,13.1
"DELANIEWALKER","Delanie Walker","TE","TEN",0,0,0,0,0,0,14,10,142,1,20.2
"RYANMATHEWS","Ryan Mathews","RB","SD",0,0,0,11,31,0,2,2,26,0,5.7
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",0,0,0,0,0,0,5,3,22,1,8.2
