"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,26.24,NA,NA,361,3,1,NA,18,0,NA,0,0,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,24.38,NA,NA,362,3,1,NA,-1,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",3,3,22.9,NA,NA,315,3,1,NA,3,0,NA,0,0,NA,0,0
"EDDIELACY","RB","Eddie Lacy","GB",1,4,21.9,NA,NA,0,0,0,NA,121,1,NA,38,0,NA,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",4,5,20.44,NA,NA,351,2,1,NA,4,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",5,6,20.38,NA,NA,317,2,1,NA,17,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",6,7,19.7,NA,NA,210,1,1,NA,33,1,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",2,8,19.5,NA,NA,0,0,0,NA,90,1,NA,45,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",7,9,19.46,NA,NA,319,2,1,NA,7,0,NA,0,0,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",8,10,18.88,NA,NA,307,2,1,NA,6,0,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",9,11,18.86,NA,NA,314,2,1,NA,3,0,NA,0,0,NA,0,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",3,12,18.6,NA,NA,0,0,0,NA,109,1,NA,17,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",10,13,18.42,NA,NA,263,2,1,NA,19,0,NA,0,0,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",11,14,18.16,NA,NA,294,2,1,NA,4,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",12,15,17.8,NA,NA,290,2,1,NA,2,0,NA,0,0,NA,0,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",1,16,17.5,NA,NA,0,0,0,NA,5,0,NA,110,1,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",2,17,17.4,NA,NA,0,0,0,NA,2,0,NA,112,1,NA,0,0
"SAMBRADFORD","QB","Sam Bradford","PHI",13,18,17.16,NA,NA,269,2,1,NA,4,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",14,19,16.96,NA,NA,269,2,1,NA,2,0,NA,0,0,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",3,20,16.9,NA,NA,0,0,0,NA,0,0,NA,109,1,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",15,21,16.6,NA,NA,240,2,1,NA,10,0,NA,0,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",16,22,16.36,NA,NA,249,2,1,NA,4,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",17,23,16.32,NA,NA,223,2,1,NA,14,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",4,24,16.3,NA,NA,0,0,0,NA,1,0,NA,102,1,NA,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",4,25,16.2,NA,NA,0,0,0,NA,76,1,NA,26,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",5,25,16.2,NA,NA,0,0,0,NA,2,0,NA,100,1,NA,0,0
"RANDALLCOBB","WR","Randall Cobb","GB P",5,25,16.2,NA,NA,0,0,0,NA,7,0,NA,95,1,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",5,25,16.2,NA,NA,0,0,0,NA,0,0,NA,102,1,NA,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",18,29,16.14,NA,NA,211,2,1,NA,17,0,NA,0,0,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",19,30,16.1,NA,NA,250,2,1,NA,1,0,NA,0,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",20,31,15.86,NA,NA,224,2,1,NA,9,0,NA,0,0,NA,0,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",5,32,15.8,NA,NA,0,0,0,NA,70,1,NA,28,0,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",6,33,15.2,NA,NA,0,0,0,NA,83,1,NA,9,0,NA,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",21,34,15.04,NA,NA,206,2,1,NA,8,0,NA,0,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",8,35,15,NA,NA,0,0,0,NA,0,0,NA,90,1,NA,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",9,36,14.8,NA,NA,0,0,0,NA,2,0,NA,86,1,NA,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",7,37,14.6,NA,NA,0,0,0,NA,66,1,NA,20,0,NA,0,0
"JAMEISWINSTON","QB","Jameis Winston","TB",22,38,14.54,NA,NA,196,2,1,NA,7,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",23,39,14.46,NA,NA,214,1,1,NA,39,0,NA,0,0,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",8,40,14.4,NA,NA,0,0,0,NA,64,1,NA,20,0,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",10,40,14.4,NA,NA,0,0,0,NA,2,0,NA,82,1,NA,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",9,42,14.3,NA,NA,0,0,0,NA,70,1,NA,13,0,NA,0,0
