"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,23.82,NA,NA,298,3,0,NA,-1,0,NA,0,0,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,2,22.9,NA,NA,0,0,0,NA,0,0,NA,109,2,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",2,3,20.4,NA,NA,0,0,0,NA,0,0,NA,104,2,NA,0,1
"RUSSELLWILSON","QB","Russell Wilson","SEA",2,4,20.38,NA,NA,237,2,1,NA,49,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,5,20.3,NA,NA,255,2,0,NA,21,0,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",4,6,19.78,NA,NA,287,2,0,NA,3,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",4,6,19.78,NA,NA,292,2,0,NA,1,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",6,8,19.6,NA,NA,285,2,0,NA,2,0,NA,0,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",7,9,18.8,NA,NA,255,2,0,NA,6,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",8,10,18.18,NA,NA,287,2,1,NA,7,0,NA,0,0,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,11,18.08,NA,NA,227,2,1,NA,30,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",10,12,17.76,NA,NA,239,2,1,NA,22,0,NA,0,0,NA,0,0
