"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,31.44,NA,NA,246,5,0,4,16,0,NA,NA,NA,NA,NA,NA
"JAMEISWINSTON","QB","Jameis Winston","TB",2,2,29.84,NA,NA,246,5,0,4,0,0,NA,NA,NA,NA,NA,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",1,3,26.3,12,NA,NA,NA,NA,NA,NA,NA,5,118,2,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",1,4,23.5,1,NA,NA,NA,NA,27,235,0,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",3,5,20.9,NA,NA,280,3,3,2,7,0,NA,NA,NA,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",2,6,20.5,15,NA,NA,NA,NA,NA,NA,NA,9,160,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,7,20.38,NA,NA,282,0,0,6,31,1,NA,NA,NA,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",2,8,19.2,4,NA,NA,NA,NA,9,32,0,4,20,2,NA,NA,NA
"BROCKOSWEILER","QB","Brock Osweiler","DEN",5,9,18.4,NA,NA,250,2,0,2,4,0,NA,NA,NA,NA,NA,NA
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",6,10,18.14,0,NA,231,0,0,5,29,1,0,0,0,0,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",3,11,17.9,1,NA,NA,NA,NA,21,102,0,1,12,1,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",7,12,17.84,NA,NA,216,1,2,5,12,1,NA,NA,NA,NA,NA,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",3,13,17.2,8,NA,NA,NA,NA,NA,NA,NA,5,87,1,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",8,14,16.84,NA,NA,261,2,3,2,14,0,NA,NA,NA,NA,NA,NA
"ALFREDBLUE","RB","Alfred Blue","HOU",4,15,16.7,3,NA,NA,NA,NA,21,58,0,3,34,1,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","DAL",5,16,16.4,3,NA,NA,NA,NA,29,129,0,3,20,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",4,17,15.9,4,NA,NA,NA,NA,NA,NA,NA,4,79,1,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",9,18,15.82,NA,NA,188,2,1,3,13,0,NA,NA,NA,NA,NA,0
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",10,19,15.32,NA,NA,213,2,2,3,8,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",11,20,15.28,NA,NA,227,2,2,2,2,0,NA,NA,NA,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",1,21,14.9,10,NA,0,0,0,0,0,0,8,109,0,0,0,0
"TJYATES","QB","T.J. Yates","HOU",12,22,14.66,NA,NA,229,2,0,3,-5,0,NA,NA,NA,NA,NA,1
"DEVINFUNCHESS","WR","Devin Funchess","CAR",5,23,14.4,8,NA,NA,NA,NA,NA,NA,NA,4,64,1,NA,NA,NA
"CHARLESSIMS","RB","Charles Sims","TB",6,23,14.4,4,NA,NA,NA,NA,10,43,0,3,26,1,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",6,25,14.3,7,NA,NA,NA,NA,NA,NA,NA,4,63,1,NA,NA,NA
"JAVORIUSALLEN","RB","Javorius Allen","BAL",7,26,14,6,NA,NA,NA,NA,22,67,0,5,48,0,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",13,27,13.96,NA,NA,299,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAX",7,28,13.8,7,NA,0,0,0,0,0,0,5,113,0,0,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",8,29,13.6,6,NA,NA,NA,NA,NA,NA,NA,4,56,1,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts III","HOU",9,30,13.54,5,NA,21,1,0,4,26,0,2,51,0,NA,NA,NA
"KAMARAIKEN","WR","Kamar Aiken","BAL",10,31,13.5,8,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",11,32,13.4,8,NA,NA,NA,NA,NA,NA,NA,3,59,1,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",8,32,13.4,7,NA,NA,NA,NA,6,21,0,3,38,1,0,0,NA
"TEDGINN","WR","Ted Ginn Jr.","CAR",11,32,13.4,8,NA,NA,NA,NA,2,12,0,5,37,1,0,0,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",13,35,13.2,10,NA,NA,NA,NA,NA,NA,NA,5,47,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",2,36,12.9,6,NA,NA,NA,NA,NA,NA,NA,3,54,1,NA,NA,NA
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",3,37,12.6,8,NA,NA,NA,NA,NA,NA,NA,5,101,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",14,38,12.5,9,NA,NA,NA,NA,NA,NA,NA,4,45,1,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","MIA",15,39,12.2,2,NA,NA,NA,NA,NA,NA,NA,2,52,1,NA,NA,NA
"MARQUESSWILSON","WR","Marquess Wilson","CHI",15,39,12.2,7,NA,NA,NA,NA,NA,NA,NA,4,102,0,NA,NA,NA
"CAMERONBRATE","TE","Cameron Brate","TB",4,39,12.2,4,NA,NA,NA,NA,NA,NA,NA,3,47,1,NA,NA,NA
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",9,42,11.7,6,NA,NA,NA,NA,13,25,1,3,17,0,NA,NA,NA
"LEONARDHANKERSON","WR","Leonard Hankerson","ATL",17,43,11.6,7,NA,NA,NA,NA,NA,NA,NA,4,36,1,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",14,44,11.58,0,NA,242,1,1,2,9,0,0,0,0,0,0,1
"BILALPOWELL","RB","Bilal Powell","NYJ",10,45,11.4,7,NA,NA,NA,NA,4,22,0,5,67,0,NA,NA,0
"BRENTCELEK","TE","Brent Celek","PHI",5,45,11.4,10,NA,NA,NA,NA,NA,NA,NA,7,79,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",18,47,11.3,9,NA,NA,NA,NA,NA,NA,NA,5,88,0,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","JAX",6,47,11.3,8,NA,0,0,0,0,0,0,5,28,1,0,0,0
"GOLDENTATE","WR","Golden Tate","DET",19,49,11.1,11,NA,NA,NA,NA,1,-2,0,8,73,0,0,0,NA
"THEORIDDICK","RB","Theo Riddick","DET",11,49,11.1,6,NA,NA,NA,NA,6,14,0,5,72,0,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",12,51,10.9,1,NA,NA,NA,NA,21,102,0,1,2,0,NA,NA,NA
"TODDGURLEY","RB","Todd Gurley","STL",13,52,10.6,NA,NA,NA,NA,NA,25,66,1,NA,NA,NA,NA,NA,1
"JAYCUTLER","QB","Jay Cutler","CHI",15,53,10.5,NA,NA,265,0,1,3,29,0,NA,NA,NA,NA,NA,1
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",14,54,10.4,2,NA,0,0,0,15,78,0,2,16,0,0,0,0
"ERICDECKER","WR","Eric Decker","NYJ",20,55,10.1,11,NA,NA,NA,NA,NA,NA,NA,4,81,0,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","DEN",7,56,9.8,6,NA,NA,NA,NA,NA,NA,NA,6,68,0,NA,NA,NA
"TJYELDON","RB","T.J. Yeldon","JAX",15,57,9.7,4,NA,0,0,0,14,54,0,3,28,0,0,0,0
"CODYLATIMER","WR","Cody Latimer","DEN",21,57,9.7,3,NA,NA,NA,NA,1,5,0,2,22,1,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",16,59,9.1,5,NA,NA,NA,NA,13,64,0,4,27,0,NA,NA,1
"JORDANCAMERON","TE","Jordan Cameron","MIA",8,59,9.1,5,NA,NA,NA,NA,NA,NA,NA,2,21,1,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","DEN",9,61,8.9,5,NA,NA,NA,NA,NA,NA,NA,4,69,0,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",17,62,8.8,NA,NA,NA,NA,NA,13,28,1,NA,NA,NA,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",22,63,8.6,7,NA,NA,NA,NA,NA,NA,NA,4,66,0,0,0,NA
"FRANKGORE","RB","Frank Gore","IND",18,64,8.5,5,NA,NA,NA,NA,14,34,0,5,46,0,NA,NA,1
"CJANDERSON","RB","C.J. Anderson","DEN",19,65,8.2,2,NA,NA,NA,NA,12,59,0,2,13,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",23,66,8,11,NA,NA,NA,NA,NA,NA,NA,6,50,0,NA,NA,0
