"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"TOMBRADY","QB","Tom Brady","NE",1,1,20.82,NA,NA,318,2,0,NA,1,0,NA,0,0,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",1,2,20.1,NA,NA,0,0,0,NA,0,0,NA,141,1,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,3,18.3,NA,NA,0,0,0,NA,75,1,NA,48,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",2,4,18.28,NA,NA,377,1,1,NA,12,0,NA,0,0,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",3,5,17.64,NA,NA,291,2,1,NA,0,0,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",2,6,17,NA,NA,0,0,0,NA,62,1,NA,48,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",4,7,16.7,NA,NA,265,2,1,NA,1,0,NA,0,0,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",4,7,16.7,NA,NA,300,1,0,NA,7,0,NA,0,0,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",6,9,16.4,NA,NA,295,1,0,NA,6,0,NA,0,0,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",2,10,16.3,NA,NA,0,0,0,NA,0,0,NA,103,1,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,11,15.6,NA,NA,0,0,0,NA,0,0,NA,96,1,NA,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",7,12,15.38,NA,NA,252,1,0,NA,13,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",8,13,15.22,NA,NA,243,1,0,NA,15,0,NA,0,0,NA,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",3,14,14.9,NA,NA,0,0,0,NA,31,1,NA,58,0,NA,0,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",9,15,14.58,NA,NA,222,1,0,NA,17,0,NA,0,0,NA,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",4,16,14.1,NA,NA,0,0,0,NA,0,0,NA,81,1,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",4,17,13.9,NA,NA,0,0,0,NA,56,1,NA,23,0,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",5,18,13.8,NA,NA,0,0,0,NA,0,0,NA,78,1,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",10,19,13.66,NA,NA,284,1,1,NA,3,0,NA,0,0,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",11,20,13.52,NA,NA,283,1,1,NA,2,0,NA,0,0,NA,0,0
"ZACSTACY","RB","Zac Stacy","STL",5,21,13.5,NA,NA,0,0,0,NA,60,1,NA,15,0,NA,0,0
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",6,21,13.5,NA,NA,0,0,0,NA,0,0,NA,75,1,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",12,23,13.44,NA,NA,241,1,1,NA,18,0,NA,0,0,NA,0,0
