"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,24.48,NA,NA,312,3,1,NA,20,0,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",2,2,23.3,NA,NA,325,3,1,NA,3,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,19.3,NA,NA,275,2,1,NA,23,0,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",1,4,19.1,NA,NA,0,0,0,NA,101,1,NA,50,0,NA,0,1
"MATTRYAN","QB","Matt Ryan","ATL",4,5,19.04,NA,NA,316,2,1,NA,4,0,NA,0,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",5,6,18.82,NA,NA,293,2,1,NA,11,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,7,18.8,NA,NA,0,0,0,NA,2,0,NA,126,1,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,8,18.62,NA,NA,308,2,1,NA,3,0,NA,0,0,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",7,9,18.38,NA,NA,297,2,1,NA,5,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",8,10,18.3,NA,NA,290,2,1,NA,7,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",9,11,17.6,NA,NA,285,2,1,NA,2,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",10,12,17.46,NA,NA,229,2,1,NA,23,0,NA,0,0,NA,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",2,13,17.4,NA,NA,0,0,0,NA,0,0,NA,114,1,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,14,17.3,NA,NA,0,0,0,NA,0,0,NA,113,1,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",11,15,16.36,NA,NA,244,2,1,NA,6,0,NA,0,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",4,16,16,NA,NA,0,0,0,NA,3,0,NA,97,1,NA,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",5,17,15.9,NA,NA,0,0,0,NA,13,0,NA,86,1,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",12,18,15.7,NA,NA,290,1,0,NA,1,0,NA,0,0,NA,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,19,15.6,NA,NA,0,0,0,NA,0,0,NA,96,1,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",2,20,15.3,NA,NA,0,0,0,NA,89,1,NA,4,0,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,21,15.2,NA,NA,0,0,0,NA,65,1,NA,27,0,NA,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",13,22,14.74,NA,NA,236,2,2,NA,13,0,NA,0,0,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",6,23,14.6,NA,NA,0,0,0,NA,6,0,NA,100,1,NA,0,1
"MIKEWALLACE","WR","Mike Wallace","MIA",6,23,14.6,NA,NA,0,0,0,NA,3,0,NA,83,1,NA,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",8,25,14.5,NA,NA,0,0,0,NA,1,0,NA,84,1,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",8,25,14.5,NA,NA,0,0,0,NA,0,0,NA,85,1,NA,0,0
"CJSPILLER","RB","C.J. Spiller","BUF",4,27,14.3,NA,NA,0,0,0,NA,64,1,NA,19,0,NA,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",5,28,14.1,NA,NA,0,0,0,NA,54,1,NA,27,0,NA,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",10,29,13.9,NA,NA,0,0,0,NA,0,0,NA,79,1,NA,0,0
"GENOSMITH","QB","Geno Smith","NYJ",14,30,13.78,NA,NA,237,1,1,NA,23,0,NA,0,0,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",6,31,13.7,NA,NA,0,0,0,NA,101,0,NA,36,0,NA,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",7,32,13.6,NA,NA,0,0,0,NA,64,1,NA,12,0,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",11,32,13.6,NA,NA,0,0,0,NA,1,0,NA,75,1,NA,0,0
