displayName,team,xp,fg
Phil Dawson,SF,3.0,3.0
Dan Carpenter,BUF,2.0,3.0
Graham Gano,CAR,3.0,2.0
Kai Forbath,WAS,3.0,2.0
Adam Vinatieri,IND,3.0,2.0
Brandon McManus,DEN,3.0,2.0
Steven Hauschka,SEA,3.0,2.0
Shayne Graham,NO,3.0,2.0
Robbie Gould,CHI,3.0,2.0
Stephen Gostkowski,NE,3.0,2.0
Cairo Santos,KC,3.0,2.0
Cody Parkey,PHI,3.0,2.0
Chandler Catanzaro,ARI,3.0,2.0
Greg Zuerlein,STL,2.0,2.0
Blair Walsh,MIN,2.0,2.0
Randy Bullock,HOU,2.0,2.0
Justin Tucker,BAL,2.0,2.0
Caleb Sturgis,MIA,2.0,2.0
Dan Bailey,DAL,2.0,2.0
Nick Novak,SD,2.0,2.0
Matt Bryant,ATL,2.0,2.0
Mason Crosby,GB,2.0,2.0
Nick Folk,NYJ,2.0,2.0
Sebastian Janikowski,OAK,2.0,2.0
Mike Nugent,CIN,2.0,2.0
Shaun Suisham,PIT,2.0,2.0
Josh Brown,NYG,2.0,2.0
Billy Cundiff,CLE,2.0,2.0
Patrick Murray,TB,2.0,2.0
Nate Freese,DET,3.0,1.0
Josh Scobee,JAC,2.0,1.0
Travis Coons,TEN,2.0,1.0
Ryan Succop,TEN,1.0,1.0
